,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
2661,Brian Herbert,0553580302,9780553580303,en,Spectra,Dune,2001
2662,Kevin J. Anderson,0553580302,9780553580303,en,Spectra,Dune,2001
2663,Frank Herbert,0441102670,9780441102679,,Berkley Publishing Group,"Chapterhouse, Dune",1987
2664,Frank Herbert,0441328008,9780441328000,,Ace,Heretics of Dune,1987
2665,Frank Herbert,0441294677,9780441294671,,Ace Books,God Emperor of Dune,1987
2666,Frank Herbert,0441104029,9780441104024,,Ace,Children of Dune,1987
2667,Anne Rice,0345443683,9780345443687,,Ballantine Books,Blackwood Farm,2002
2668,Peter Maas,0061012149,9780061012143,,HarperTorch,Serpico,2000
2669,American Psychiatric Association,0890420254,9780890420256,en,American Psychiatric Pub,Diagnostic And Statistical Manual Of Mental Disorders: DSM-IV-TR,2000
2670,Michael Crichton,0345378482,9780345378484,,Ballantine Books,The Andromeda strain,1993
2671,Mary Higgins Clark,0671758896,9780671758899,,Pocket Books,"Loves music, loves to dance",1991
2672,Michael Shaara,0345348109,9780345348104,,Ballantine Books,The killer angels; a novel / Michael Shaara,1975
2673,Stephen King,0451177096,9780451177094,,Signet,Dolores Claiborne,1993
2674,Donna-Marie Pye,0778800229,9780778800224,,Robert Rose,America's best slow cooker recipes,2000
2675,Anne Rice,0345422384,9780345422385,,Ballantine Books,Pandora: new tales of the vampires,1998
2676,Robin McKinley,0441328091,9780441328093,,Ace Books,The hero and the crown,1987
2677,James W. Loewen,0684818868,9780684818863,,Simon & Schuster,Lies my teacher told me: everything your American history textbook got wrong,1996
2678,Anna Ludlow,0525463313,9780525463313,,Dutton Juvenile,Pooh's little book of feng shui,2000
2679,Robert Jordan,0812513754,9780812513752,,Tor/Tom Doherty,Lord of chaos,1995
2680,Robert Jordan,0812550307,9780812550306,,Tor Fantasy,The fires of heaven,1994
2681,Robert Jordan,0812513738,9780812513738,,Tor Fantasy,The shadow rising,1993
2682,Robert Jordan,0312852487,9780312852481,,Tom Doherty Associates,The dragon reborn,1991
2683,Robert Jordan,0765348446,9780765348449,,Starscape,New threads in the pattern,2003
2684,Robert Jordan,0765348438,9780765348432,,Starscape,The hunt begins,2004
2685,Robert Jordan,0812511816,9780812511819,,T. Doherty Associates,The eye of the world,1990
2686,Sigmund Freud,0871401185,9780871401182,,Norton,New introductory lectures on psychoanalysis,1989
2687,Eugen Herrigel,0394712447,9780394712444,,Vintage Books,The method of Zen,1974
2688,William Shakespeare,0671722727,9780671722722,,Washington Square Press,The tragedy of King Lear,1993
2689,Augustine of Hippo,0385029551,9780385029551,,Image,The confessions of Saint Augustine,1960
2690,Stanley Milgram,0070419361,9780070419360,en,"McGraw-Hill Humanities, Social Sciences & World Languages",The Individual In A Social World: Essays And Experiments,1992
2691,Sunzi,1929194196,9781929194193,,Clearbridge Pub.,The art of war: plus the ancient Chinese revealed,2004
2692,Miyamoto Musashi,0553351702,9780553351705,,Bantam Books,A book of five rings,1992
2693,Ray Axford,0285632655,9780285632653,,Souvenir Press,Archery anatomy: an introduction to techniques for improved performance,1996
2694,Kenneth P. Kushner,0804832463,9780804832465,,Turtle Pub.,"One arrow, one life: Zen, archery, enlightment",2000
2695,Eugen Herrigel,0375705090,9780375705090,,Vintage,Zen in the art of archery,1999
2696,Elliott Hester,0312269587,9780312269586,,St. Martin's Press,"Plane insanity: a flight attendant's tales of sex, rage, and queasiness at 30,000 feet",2002
2697,John Grisham,0099244926,9780099244929,,Arrow,The street lawyer,1998
2698,Libby Hathorn,0340612843,9780340612842,,Hodder Headline Australia Children's Books,Love me tender,1994
2699,Sue Townsend,0413588106,9780413588104,,Methuen Publishing Ltd,The growing pains of Adrian Mole,1985
2700,Paul Temple,009945520X,9780099455202,,Red Fox,How to make square eggs,1986
2701,James Moloney,0702228842,9780702228841,en,,A Bridge To Wiseman's Cove,1996
2702,Dan Parkinson,0880385367,9780880385367,,TSR,Starsong: a science-fantasy love story,1988
2703,Kathleen O'Neal Gear,0812515609,9780812515602,,Tor Books,People of the mist,1998
2704,W. Michael Gear,0812515609,9780812515602,,Tor Books,People of the mist,1998
2705,Stephen White,0451183681,9780451183682,,Signet,Harm's way,1997
2706,Sophie Schallingher,3502517959,9783502517955,,Scherz,L'amour venin,2001
2707,Minette Walters,3442424623,9783442424627,,Goldmann,The sculptress,1996
2708,,3310005844,9783310005842,,Midena,20 Jahre 40 bleiben. Jung und schön in den besten Jahren,1999
2709,Robert T. Burns,059525893X,9780595258932,,Writer's Showcase Press,Goddess Blood,2002
2710,Tom Clancy,0425122123,9780425122129,,Berkley,Clear and present danger,1990
2711,Poul Anderson,0812530489,9780812530483,,Tor Books,Time wars,1986
2712,Buzz Aldrin,081257060X,9780812570601,,Tor Books,The return,2001
2713,John Barnes,081257060X,9780812570601,,Tor Books,The return,2001
2714,Andrew M. Greeley,0446326488,9780446326483,,,Lord of the dance,
2715,Anne Tyler,080410882X,9780804108829,,Ivy Books,Dinner at the Homesick Restaurant,1991
2716,Beth Saulnier,0446609986,9780446609982,,Warner Books,The fourth wall,2001
2717,Ted Conover,0375726624,9780375726620,,Vintage,Newjack: guarding Sing Sing,2001
2718,Jane Kirkpatrick,0892882816,9780892882816,,Maverick Publications (OR),Homestead,2000
2719,Mary Tatem,1577487370,9781577487371,,"Barbour Publishing, Incorporated",The quilt of life: a patchwork of devotional thoughts,2000
2720,Jane Kirkpatrick,1578562325,9781578562329,,WaterBrook Press,"All together in one place: a novel of kinship, courage, and faith",2000
2721,Mitch Albom,0385484518,9780385484510,,Doubleday,"Tuesdays with Morrie: an old man, a young man, and life's greatest lesson",1997
2722,Tom Connor,0060951710,9780060951719,,HarperPerennial,Martha Stuart's better than you at entertaining,1996
2723,Barbara Kingsolver,0060922532,9780060922535,,HarperPerennial,Pigs in heaven: a novel,1994
2724,George Carlin,0786864133,9780786864133,,Hyperion,Napalm &amp;amp; silly putty,2001
2725,Sarah Louise Delany,156836010X,9781568360102,,Kodansha International,Having our say: the Delany sisters' first 100 years,1993
2726,Melody Beattie,006251119X,9780062511195,,HarperSanFrancisco,Stop being mean to yourself: a story about finding the true meaning of self-love,1997
2727,Harlan Coben,0440236703,9780440236702,,Dell,Tell no one: a novel,2002
2728,Richard Marcinko,0671795937,9780671795931,,,Rogue warrior,
2729,John Weisman,0671795937,9780671795931,,,Rogue warrior,
2730,William Bernhardt,0345380274,9780345380272,,Ballantine Books,Deadly justice,1993
2731,Andrew Klavan,0440224039,9780440224037,en,Dell Publishing Company,True Crime: The Novel,1997
2732,Brooke Siler,076790396X,9780767903967,,Broadway Books,"The Pilates body: the ultimate at home guide to strengthening, lengthening, and toning your body --without machines",2000
2733,Matthew McKay,1572241381,9781572241381,,,The self-esteem companion: simple exercises to help you challenge your inner critic and celebrate your personal strengths,1999
2734,Matthew McKay,1572241381,9781572241381,,,The self-esteem companion: simple exercises to help you challenge your inner critic and celebrate your personal strengths,1999
2735,Michael H Koulen,1572241381,9781572241381,,,The self-esteem companion: simple exercises to help you challenge your inner critic and celebrate your personal strengths,1999
2736,Stefan Bechtel,0345443411,9780345443410,,Ballantine Books,"What women want: what every man needs to know about sex, romance, passion, and pleasure",2002
2737,"Hopkins, David",0192802542,9780192802545,,Oxford University Press,Dada and Surrealism: a very short introduction,2004
2738,Mihaly Csikszentmihalyi,0060928204,9780060928209,,Harper Perennial,Creativity: flow and the psychology of discovery and invention,1997
2739,Mihaly Csikszentmihalyi,0060928204,9780060928209,,Harper Perennial,Creativity: flow and the psychology of discovery and invention,1997
2740,Lynne Truss,1592400876,9781592400874,en,Perseus Books Group,"Eats, Shoots &Amp;Amp; Leaves: The Zero Tolerance Approach To Punctuation",2003
2741,Paul Wilson,0140282378,9780140282375,,Michael Joseph Ltd,The big book of calm: over 100 successful techniques for relaxing mind and body,1999
2742,Joachim Appel,0435240765,9780435240769,,Heinemann,Diary of a language teacher,1995
2743,David Sedaris,0316779490,9780316779494,,"Little, Brown and Co.",Naked,1997
2744,Bill Bryson,0767902513,9780767902519,,Broadway Books,A walk in the woods: rediscovering America on the Appalachian Trail,1998
2745,Al Franken,038531809X,9780385318099,,Delacorte Press,Why not me?: the inside story of the making and unmaking of the Franken presidency,1999
2746,Whoopi Goldberg,068815252X,9780688152529,,R. Weisbach Books,Book,1997
2747,Drew Carey,078686351X,9780786863518,en,Hyperion,Dirty Jokes And Beer: Stories Of The Unrefined,1997
2748,Ha Jin,0375706410,9780375706417,en,Vintage,Waiting,2000
2749,Jostein Gaarder,0753811464,9780753811467,,"Orion Publishing Group, Limited",Maya,2006
2750,Jon Winokur,0452266688,9780452266681,,Plume,The portable curmudgeon,1992
2751,Warren Buckland,0340697687,9780340697689,,Teach Yourself Books,Film studies,1998
2752,Sherry Diestler,0130289221,9780130289223,,Prentice Hall,Becoming a critical thinker: a user-friendly manual,2001
2753,Paul Sloane,0806957050,9780806957050,,Sterling,Colorful lateral thinking puzzles,2002
2754,,0517084732,9780517084731,,Wings Books,Good advice,1992
2755,William Strunk Jr.,020530902X,9780205309023,,Allyn and Bacon,The elements of style,1999
2756,Rosalie Maggio,073520313X,9780735203136,,Prentice Hall Press,The how to say it: style guide,2003
2757,M. Neil Browne,0130891347,9780130891341,,Prentice Hall,Asking the right questions: a guide to critical thinking,2001
2758,David M. Buss,0465021433,9780465021437,en,Basic Books (AZ),The Evolution Of Desire: Strategies Of Human Mating,1994
2759,,1565115228,9781565115224,,HighBridge Co.,A Prairie home companion pretty good joke book,2001
2760,David D. Burns,0380810336,9780380810338,,Avon Books,Feeling good: the new mood therapy,1999
2761,"Allen, Roberta",061819729X,9780618197293,,Houghton Mifflin Co.,The playful way to serious writing: an anything-can-happen workbook to inspire and delight,2002
2762,Esmé Raji Codell,1565122798,9781565122796,,Algonquin Books of Chapel Hill,Educating Esmé: diary of a teacher's first year,2001
2763,Harold R. McAlindon,1581820542,9781581820546,,Cumberland House,"The little book of big ideas: inspiration, encouragement, and tips to stimulate creativity and improve your life",1999
2764,Richard O'Connor,0425166791,9780425166796,en,Berkley Publishing Group,Undoing Depression: What Therapy Doesn't Teach You And Medication Can't Give You,1999
2765,M. L. Rossi,0452284058,9780452284050,,Plume,"What every American should know about the rest of the world: your guide to today's hot spots, hot shots, and incendiary issues",2003
2766,John T. Walbaum,1564146731,9781564146731,,Career Press,"The know-it-all's guide to life: how to climb Mount Everest, cure hiccups, live to 100, and dozens of other practical, unusual, or just plain fantastical things",2003
2767,Nina Wise,0767910079,9780767910071,,Broadway Books,A big new free happy unusual life: self-expression and spiritual practice for those who have time for neither,2002
2768,Oscar Wilde,0486401464,9780486401461,,Dover Publications,Oscar Wilde's wit and wisdom: a book of quotations,1998
2769,Caroline Linse,0880841109,9780880841108,,Alemany Press,The children's response: TPR and beyond toward writing,1983
2770,Henry Miller,0811201090,9780811201094,,New Directions,The colossus of Maroussi,1975
2771,Hans Christian Andersen,0140621407,9780140621402,,Penguin Books,Fairy tales,1998
2772,Joseph Conrad,0140620281,9780140620283,,Penguin Popular Classics,Nostromo,1994
2773,Claire Maria Ford,0201895293,9780201895292,,Addison-Wesley Publishing Co.,101 bright ideas: ESL activities for all ages,1997
2774,Warren Farrell,1585420611,9781585420612,,Tarcher,"Women can't hear what men don't say: destroying myths, creating love",2000
2775,Jane Austen,0553211978,9780553211979,,Bantam Books,Northanger Abbey,1999
2776,Daniel Keyes,0553274503,9780553274509,,Bantam,Flowers for Algernon,1975
2777,Elizabeth Adler,0440224659,9780440224655,,Island Books,Sooner or later,1999
2778,Tom Holt,1841492086,9781841492087,en,Orbit,The Portable Door,2004
2779,Barbara Wertheim Tuchman,0345308239,9780345308238,,Ballantine Books,The march of folly: from Troy to Vietnam,1985
2780,Frank Moorhouse,0330357190,9780330357197,,Picador,Loose living,1995
2781,Sue Townsend,0413537900,9780413537904,,,"The secret diary of Adrian Mole, aged 13 3/4: the play",
2782,Robert Hughes,1860467776,9781860467776,,Harvill Press,A jerk on one end: reflections of a mediocre fisherman,2003
2783,Daniel Yergin,0671757059,9780671757052,,Simom and Schuster,"The prize: the epic quest for oil, money, and power",1991
2784,Walter Mosley,0671511424,9780671511425,en,,Devil In A Blue Dress,1995
2785,Tom Clancy,0425133540,9780425133545,,Berkley,The sum of all fears,1992
2786,Pamela Ribon,0743469801,9780743469807,,Downtown Press,Why girls are weird,2003
2787,W. R. Philbrick,0590110225,9780590110228,,Scholastic Inc.,Freak the Mighty,1993
2788,Mark Twain,0835902242,9780835902243,,,"Adventures of Huckleberry Finn: an authoritative text, backgrounds and sources, criticism",
2789,Emory Elliott,0835902242,9780835902243,,,"Adventures of Huckleberry Finn: an authoritative text, backgrounds and sources, criticism",
2790,Michael Patrick Hearn,0835902242,9780835902243,,,"Adventures of Huckleberry Finn: an authoritative text, backgrounds and sources, criticism",
2791,Thomas Cooley,0835902242,9780835902243,,,"Adventures of Huckleberry Finn: an authoritative text, backgrounds and sources, criticism",
2792,E. W. Kemble,0835902242,9780835902243,,,"Adventures of Huckleberry Finn: an authoritative text, backgrounds and sources, criticism",
2793,Victor Fischer,0835902242,9780835902243,,,"Adventures of Huckleberry Finn: an authoritative text, backgrounds and sources, criticism",
2794,Agatha Christie,0425173755,9780425173756,,Berkeley Press,Murder on the Orient Express: a Hercule Poirot mystery,2000
2795,Agatha Christie,0451199871,9780451199874,,Signet,The body in the library: a Miss Marple mystery,2000
2796,Jeannette Batz,0963144839,9780963144836,,Virginia Pub Corp,Half life: what we give up to work,1993
2797,Linda Goodnight,0373196903,9780373196906,,Silhouette Books,Her pregnant agenda,2003
2798,Teresa Southwick,0373196962,9780373196968,,Silhouette Books,To wed a sheikh,2003
2799,John Irving,0671822209,9780671822200,,Pocket Books,The world according to Garp: a novel,1979
2800,C. S. Lewis,0064409430,9780064409438,,Harper Trophy,The magician's nephew,2000
2801,Shirlee Busbee,0380752107,9780380752102,,Avon Books,Midnight masquerade,2000
2802,Nevada Barr,0425194493,9780425194492,en,Penguin,Flashback,2004
2803,Madelyn Klein Anderson,0531103099,9780531103098,,F. Watts,New zoos,1987
2804,Gary Devon,0380728125,9780380728121,,Avon Books,Wedding night: a novel,1997
2805,William Shakespeare,0671722816,9780671722814,,Washington Square Press,"The tragedy of Othello, the Moor of Venice",1993
2806,Jeff Foxworthy,1563521024,9781563521027,,Longstreet Press,You're not a kid anymore when,1993
2807,John Beasant,0312267819,9780312267810,,St. Martin's Griffin,Stalin's silver: the sinking of the USS John Barry,2000
2808,Frank E. Peretti,0842361715,9780842361712,,,This present darkness,
2809,Brad Meltzer,0446527289,9780446527286,,Warner Books,The first counsel,2001
2810,John le Carre,0743457900,9780743457903,en,Simon and Schuster,"Tinker, Tailor, Soldier, Spy",2002
2811,Stan Berenstain,0394830148,9780394830148,,Random House,The Berenstain bears and too much vacation,1989
2812,Dean Ray Koontz,0345384350,9780345384355,,Ballantine Books,Icebound,1994
2813,Olivia Goldsmith,0060175532,9780060175535,,HarperCollins Publishers,Young wives: a novel,2000
2814,Christopher Isherwood,0811200701,9780811200707,,New Directions,The Berlin stories,1954
2815,Viktor Emil Frankl,0671023373,9780671023379,,Washington Square Press,Man's search for meaning,1984
2816,Amy Tan,0679748083,9780679748083,,Vintage,The kitchen god's wife,1993
2817,Cheryl Gochnauer,0830819223,9780830819225,,InterVarsity Press,So you want to be a stay-at-home mom,1999
2818,Patricia Daniels Cornwell,0425175405,9780425175408,,Berkley Books,Black notice,2000
2819,Dennis Lehane,0380731851,9780380731855,,HarperTorch,Mystic river,2002
2820,Zoe Barnes,0749930721,9780749930721,,Piatkus Books,Hitched,1998
2821,Robert H. Boyer,0380009560,9780380009565,,Avon Books (Mm),The Fantastic imagination: an anthology of high fantasy,1978
2822,Carole Nelson Douglas,0345298365,9780345298362,,Ballantine Books,Six of swords,1982
2823,Johanna Lindsey,0380776510,9780380776511,,,Paradise wild,1981
2824,Daniel Pennac,880781210X,9788807812101,,Universale Economica Feltrinelli,The scapegoat,1994
